dist_code,year,state_code,state_name,dist_name,rice_area_1000_ha,rice_production_1000_tons,rice_yield_kg_per_ha,wheat_area_1000_ha,wheat_production_1000_tons,wheat_yield_kg_per_ha,maize_area_1000_ha,maize_production_1000_tons,maize_yield_kg_per_ha,groundnut_area_1000_ha,groundnut_production_1000_tons,groundnut_yield_kg_per_ha,oilseeds_area_1000_ha,oilseeds_production_1000_tons,oilseeds_yield_kg_per_ha,cotton_area_1000_ha,cotton_production_1000_tons,cotton_yield_kg_per_ha
1,1966,14,Chhattisgarh,Durg,548.0,185.0,337.59,44.0,20.0,454.55,3.0,2.0,666.67,0.2,0.1,500.0,50.7,64.26833489388265,748.5672913250567,0.0,14.895121857853772,257.48852610030707
1,1967,14,Chhattisgarh,Durg,547.0,409.0,747.71,50.0,26.0,520.0,3.0,3.0,1000.0,0.1,0.1,1000.0,113.55,64.26833489388265,748.5672913250567,0.0,14.895121857853772,257.48852610030707
1,1968,14,Chhattisgarh,Durg,556.3,468.0,841.27,53.7,30.0,558.66,2.8,2.0,714.29,0.1,0.1,1000.0,126.62,64.26833489388265,748.5672913250567,0.0,14.895121857853772,257.48852610030707
1,1969,14,Chhattisgarh,Durg,563.4,400.8,711.4,49.4,26.5,536.44,2.7,2.3,851.85,0.1,0.1,1000.0,114.14,14.9,130.54,0.0,14.895121857853772,257.48852610030707
1,1970,14,Chhattisgarh,Durg,571.6,473.6,828.55,44.2,29.0,656.11,2.5,3.3,1320.0,0.1,0.1,1000.0,126.4,24.3,192.25,0.0,14.895121857853772,257.48852610030707
1,1971,14,Chhattisgarh,Durg,581.8,412.9,709.69,44.4,25.8,581.08,2.7,3.1,1148.15,0.1,29.439497641314244,1026.3071195020748,124.2,20.2,162.64,0.0,14.895121857853772,257.48852610030707
1,1972,14,Chhattisgarh,Durg,582.2,381.0,654.41,39.6,20.6,520.2,2.8,3.2,1142.86,0.1,29.439497641314244,1026.3071195020748,123.8,25.4,205.17,0.0,14.895121857853772,257.48852610030707
1,1973,14,Chhattisgarh,Durg,600.0,471.9,786.5,37.3,18.6,498.66,2.9,2.7,931.03,0.1,29.439497641314244,1026.3071195020748,130.2,30.3,232.72,0.0,14.895121857853772,257.48852610030707
1,1974,14,Chhattisgarh,Durg,587.4,219.0,372.83,36.5,22.4,613.7,2.9,2.9,1000.0,0.0,29.439497641314244,1026.3071195020748,96.8,23.9,246.9,0.0,14.895121857853772,257.48852610030707
1,1975,14,Chhattisgarh,Durg,598.3,454.0,758.82,49.2,27.8,565.04,2.9,2.9,1000.0,0.0,29.439497641314244,1026.3071195020748,131.5,30.8,234.22,0.0,14.895121857853772,257.48852610030707
1,1976,14,Chhattisgarh,Durg,593.6,327.1,551.04,46.9,10.0,213.22,3.0,2.0,666.67,0.1,29.439497641314244,1026.3071195020748,105.7,7.1,67.17,0.0,14.895121857853772,257.48852610030707
1,1977,14,Chhattisgarh,Durg,600.7,572.4,952.89,53.1,27.1,510.36,3.4,2.8,823.53,0.1,29.439497641314244,1026.3071195020748,128.6,24.5,190.51,0.0,14.895121857853772,257.48852610030707
1,1978,14,Chhattisgarh,Durg,612.5,362.2,591.35,48.7,25.6,525.67,3.4,2.9,852.94,0.1,0.1,1000.0,145.6,17.5,120.19,0.0,14.895121857853772,257.48852610030707
1,1979,14,Chhattisgarh,Durg,616.8,330.6,535.99,44.6,17.8,399.1,3.0,3.6,1200.0,0.1,0.2,2000.0,102.8,5.4,52.53,0.0,14.895121857853772,257.48852610030707
1,1980,14,Chhattisgarh,Durg,634.9,515.6,812.1,44.1,33.6,761.9,3.0,2.8,933.33,0.1,0.2,2000.0,113.4,19.8,174.6,0.0,14.895121857853772,257.48852610030707
1,1981,14,Chhattisgarh,Durg,630.0,506.9,804.6,41.5,23.6,568.67,3.0,3.0,1000.0,0.1,0.1,1000.0,117.1,15.8,134.93,0.0,14.895121857853772,257.48852610030707
1,1982,14,Chhattisgarh,Durg,627.9,513.3,817.49,41.1,23.9,581.51,3.0,3.1,1033.33,0.1,0.1,1000.0,117.9,15.9,134.86,0.0,14.895121857853772,257.48852610030707
1,1983,14,Chhattisgarh,Durg,626.7,711.0,1134.51,39.9,20.6,516.29,3.0,3.7,1233.33,0.1,0.1,1000.0,119.8,22.4,186.98,0.0,14.895121857853772,257.48852610030707
1,1984,14,Chhattisgarh,Durg,632.2,563.8,891.81,40.5,19.9,491.36,3.6,4.1,1138.89,0.2,0.2,1000.0,120.3,18.1,150.46,0.0,14.895121857853772,257.48852610030707
1,1985,14,Chhattisgarh,Durg,630.8,699.8,1109.38,39.4,21.0,532.99,3.8,3.0,789.47,0.3,0.3,1000.0,120.3,19.0,157.94,0.0,14.895121857853772,257.48852610030707
1,1986,14,Chhattisgarh,Durg,643.0,525.0,816.49,37.0,24.0,648.65,4.0,3.0,750.0,1.0,1.0,1000.0,97.8,18.6,190.18,0.0,14.895121857853772,257.48852610030707
1,1987,14,Chhattisgarh,Durg,648.0,523.0,807.1,43.0,23.0,534.88,4.0,3.0,750.0,1.0,1.0,1000.0,93.2,22.4,240.34,0.0,14.895121857853772,257.48852610030707
1,1988,14,Chhattisgarh,Durg,652.7,549.7,842.19,43.7,20.2,462.24,3.8,4.0,1052.63,1.3,1.3,1000.0,86.1,15.0,174.22,0.0,14.895121857853772,257.48852610030707
1,1989,14,Chhattisgarh,Durg,660.2,457.3,692.67,43.8,22.7,518.26,3.7,4.8,1297.3,3.3,2.8,848.48,74.4,17.0,228.49,0.0,14.895121857853772,257.48852610030707
1,1990,14,Chhattisgarh,Durg,682.9,806.8,1181.43,36.2,24.8,685.08,4.0,3.8,950.0,3.4,2.9,852.94,84.0,19.6,233.33,0.0,14.895121857853772,257.48852610030707
1,1991,14,Chhattisgarh,Durg,680.8,773.6,1136.31,34.8,21.6,620.69,3.8,3.5,921.05,2.6,2.7,1038.46,86.4,26.0,300.93,0.0,14.895121857853772,257.48852610030707
1,1992,14,Chhattisgarh,Durg,688.0,777.3,1129.8,56.1,20.5,365.42,4.4,6.0,1363.64,1.6,2.3,1437.5,90.8,28.2,310.57,0.02,14.895121857853772,257.48852610030707
1,1993,14,Chhattisgarh,Durg,703.6,876.7,1246.02,33.8,23.8,704.14,3.8,4.2,1105.26,2.5,2.6,1040.0,124.2,48.4,389.69,0.03,14.895121857853772,257.48852610030707
1,1994,14,Chhattisgarh,Durg,726.8,967.9,1331.73,36.5,29.4,805.48,4.8,4.3,895.83,1.2,1.2,1000.0,117.0,40.0,341.88,0.0,14.895121857853772,257.48852610030707
1,1995,14,Chhattisgarh,Durg,723.3,1052.0,1454.44,37.1,26.5,714.29,4.2,5.6,1333.33,0.9,1.0,1111.11,121.9,40.0,328.14,0.0,14.895121857853772,257.48852610030707
1,1996,14,Chhattisgarh,Durg,710.9,917.2,1290.2,36.2,29.1,803.87,3.2,4.1,1281.25,0.8,0.8,1000.0,136.3,57.6,422.6,0.0,14.895121857853772,257.48852610030707
1,1997,14,Chhattisgarh,Durg,735.7,837.5,1138.37,35.6,18.3,514.04,3.5,3.2,914.29,1.4,1.4,1000.0,149.44,62.4,417.56,0.0,14.895121857853772,257.48852610030707
1,1998,14,Chhattisgarh,Durg,786.51,684.62,870.45,39.96,24.84,621.62,5.61,5.68,1012.65,1.38,1.38,1000.0,151.86,47.57,313.25,0.0,14.895121857853772,257.48852610030707
1,1999,14,Chhattisgarh,Durg,769.79,963.04,1251.04,0.0,213.9029616420409,1753.5035686217434,3.81,4.98,1307.44,1.38,1.38,1000.0,108.14,35.93,332.25,0.0,14.895121857853772,257.48852610030707
